Price,Date,Lat,Lng,Housing,Floors,House,Rooms,Floor,Area
4000,306,56.257023,43.98201,0,17,Brick,2,6,62
2800,306,56.36641,43.825497,0,18,Brick,1,7,43
5400,306,56.305534,44.066713,0,14,Brick,1,8,54
3600,306,56.267162,44.023531,0,19,Brick,2,15,53.7
2000,306,56.324463,44.001888,0,6,Brick,1,5,38.9
1850,306,56.262242,43.987517,0,3,Brick,1,1,30.5
12300,306,56.311271,43.990499,0,10,Brick,3,3,108
7700,306,56.286293,44.065158,0,10,Brick,4,10,106
2550,306,56.319379,43.943509,0,5,Brick,2,5,43.3
3260,306,56.28234,43.927923,0,5,Brick,3,5,60
1950,306,56.336628,43.922201,0,9,Brick,1,7,30
2050,306,56.290439,43.91761,0,4,Brick,2,1,43
2100,306,56.331074,43.958861,0,5,Brick,2,4,42.2
3050,306,56.284464,44.073019,0,17,Brick,1,12,44.5
4050,306,56.348726,43.865508,0,5,Brick,3,4,70
2550,306,56.326887,44.005986,0,5,Brick,2,1,45.4
4650,306,56.360611,43.861816,0,10,Brick,3,1,80
2900,306,56.287727,43.925057,0,5,Brick,2,3,55.3
3400,306,56.312919,43.898117,0,9,Brick,2,4,61
3400,306,56.336089,43.941209,0,16,Brick,1,5,43
21800,306,56.315026,43.988541,0,7,Brick,6,5,237
2600,306,56.23406,43.965832,0,10,Brick,1,4,39
2400,306,56.286033,43.846419,0,14,Brick,1,12,39.1
2880,306,56.277818,43.921383,0,9,Brick,2,5,44
1970,306,56.296949,44.039026,0,5,Brick,1,1,31.7
3780,306,56.284629,44.043464,0,9,Brick,3,8,62.5
4650,306,56.315196,44.045701,0,9,Brick,3,5,76.2
2280,306,56.23406,43.965832,0,10,Brick,1,6,39
4200,306,56.332042,43.85118,0,3,Brick,3,1,80
4150,306,56.344007,43.936789,0,9,Brick,3,1,75
3990,306,56.335455,43.884858,0,5,Brick,2,3,78
2750,306,56.328174,43.953462,0,9,Brick,3,2,57
3090,306,56.2827,44.080331,0,5,Brick,1,5,40.3
3350,306,56.2827,44.080331,0,10,Brick,2,9,55
6300,306,56.321077,43.996653,0,4,Brick,3,3,80
3500,306,56.344666,43.929189,0,9,Brick,2,2,63.8
2300,306,56.317467,44.05454,0,9,Brick,1,3,33.7
1860,306,56.271501,43.88121,0,9,Brick,1,8,36.5
3700,306,56.367138,43.807585,0,10,Brick,3,5,73
1950,306,56.278088,43.986421,0,5,Brick,1,4,29
7700,306,56.315505,44.022596,0,6,Brick,2,2,77.1
7150,306,56.308985,44.018455,0,10,Brick,3,1,104.8
3600,306,56.335785,43.917134,0,9,Brick,3,2,63.7
4500,306,56.268231,44.056642,0,2,Brick,4,1,130
1300,306,56.23404,44.006004,0,9,Brick,1,3,33.8
8000,306,56.311012,43.991658,0,9,Brick,2,9,84
2650,306,56.320647,43.886735,0,4,Brick,3,4,54
2030,306,56.334597,43.875138,0,9,Brick,1,6,34
18000,306,56.308995,43.978237,0,10,Brick,4,9,303
4600,306,56.319534,44.054163,0,9,Brick,3,4,64
6600,306,56.340764,43.951027,0,17,Brick,3,1,87
1900,306,56.313808,43.941146,0,9,Brick,1,7,29.5
3200,306,56.326887,44.005986,0,6,Brick,3,2,62
2150,306,56.338744,43.926611,0,9,Brick,1,9,35.6
3100,306,56.286697,44.044874,0,9,Brick,2,9,45
2160,306,56.27265,43.911017,0,5,Brick,2,5,44
3900,306,56.287117,44.075309,0,10,Brick,3,8,63
2180,306,56.255447,43.970144,0,5,Brick,1,5,30.7
10000,306,56.327106,44.019093,0,5,Brick,3,4,108.7
2690,306,56.326887,44.005986,0,5,Brick,3,1,63
6000,306,56.311242,44.000561,0,9,Brick,1,7,55.4
2650,306,56.305814,43.934651,0,4,Brick,3,4,58
1400,306,56.310947,44.033466,0,5,Brick,1,5,19.2
3300,306,56.297573,44.027483,0,10,Brick,2,1,52
3650,306,56.283799,44.061179,0,17,Brick,1,15,45
3950,306,56.285393,44.051836,0,12,Brick,2,11,51
2400,306,56.270201,43.924967,0,5,Brick,1,3,35.2
2660,306,56.232213,43.955214,0,5,Brick,2,2,50
2050,306,56.240628,43.832836,0,4,Brick,2,4,43.6
